,PDBID,pK
1284,2i0a,11.4
1285,1lyb,11.42
1286,6cpa,11.52
1287,1y6q,11.7
1288,1duv,11.8
1289,1sl3,11.85
1290,1ctu,11.92
1291,1agm,12.0
1292,1gah,12.0
1293,1lf9,12.0
1294,2i0d,12.1
1295,1rbo,12.72
1296,2ada,13.0
1297,2f01,13.0
1298,2gh7,13.0
1299,7cpa,13.96
