,PDBID,pK
1283,1oe8,5.52
1284,1ydr,5.52
1285,2cht,5.52
1286,2ydt,5.52
1287,3hzm,5.52
1288,3iog,5.52
1289,4de3,5.52
1290,4en4,5.52
1291,1bjv,5.54
1292,2olb,5.54
1293,2y7i,5.54
1294,3bxf,5.54
1295,3jyr,5.54
1296,3ubd,5.54
1297,3v78,5.54
1298,4nxu,5.54
1299,4qij,5.54
1300,4r4c,5.54
1301,1g3d,5.55
1302,1njc,5.55
1303,1y3n,5.55
1304,2iuz,5.55
1305,3uzj,5.55
1306,4o3f,5.56
1307,1jak,5.57
1308,1njd,5.57
1309,2nmx,5.57
1310,3bex,5.57
1311,3coz,5.57
1312,3uxl,5.57
1313,3vtr,5.57
1314,3jup,5.58
1315,3su5,5.58
1316,1f4x,5.59
1317,1fo0,5.59
1318,1mfi,5.59
1319,3gxy,5.59
1320,3sha,5.59
1321,4bqh,5.59
1322,4cwn,5.59
1323,1vfn,5.60
1324,2wca,5.60
1325,2yhw,5.60
1326,3bl1,5.60
1327,3e6y,5.60
1328,3qps,5.60
1329,3u5j,5.61
1330,1ejn,5.62
1331,2bmk,5.62
1332,3e3c,5.62
1333,3ip9,5.62
1334,3ldp,5.62
1335,3lpl,5.62
1336,3nes,5.62
1337,4ddy,5.62
1338,4dli,5.62
1339,4dzy,5.62
1340,4iid,5.62
1341,4j48,5.62
1342,3gy3,5.63
1343,3l1n,5.63
1344,3rf5,5.63
1345,1f57,5.64
1346,1y3v,5.64
1347,1z9g,5.64
1348,2ojg,5.64
1349,2reg,5.64
1350,3arv,5.64
1351,3fwv,5.64
1352,3n86,5.64
1353,3s8l,5.64
1354,4deu,5.64
1355,3q7q,5.65
1356,1n5r,5.66
1357,1nhu,5.66
1358,2aod,5.66
1359,2erz,5.66
1360,2x97,5.66
1361,3ery,5.66
1362,3td4,5.66
1363,3zi8,5.66
1364,2h15,5.67
1365,2pqz,5.67
1366,2qwf,5.67
1367,4ncn,5.67
1368,1gnn,5.68
1369,2c92,5.68
1370,2cbu,5.68
1371,2q8z,5.68
1372,2uyq,5.68
1373,3b5j,5.68
1374,3oil,5.68
1375,4c52,5.68
1376,4det,5.68
1377,4l4z,5.68
1378,1a99,5.70
1379,1egh,5.70
1380,1g98,5.70
1381,1g9r,5.70
1382,1jsv,5.70
1383,1n1m,5.70
1384,1pgp,5.70
1385,2a14,5.70
1386,2avm,5.70
1387,2f2h,5.70
1388,2h3e,5.70
1389,2i4z,5.70
1390,2ya6,5.70
1391,3acx,5.70
1392,3c4h,5.70
1393,3d4y,5.70
1394,3fhb,5.70
1395,3kku,5.70
1396,4bs0,5.70
1397,4f39,5.70
1398,4j28,5.70
1399,4l2l,5.70
1400,4pzv,5.70
1401,4qxq,5.70
1402,2uz9,5.71
1403,2qg0,5.72
1404,2v25,5.72
1405,3jvr,5.72
1406,3shc,5.72
1407,4br3,5.72
1408,4dkp,5.72
1409,3bqc,5.73
1410,3m3z,5.73
1411,4j44,5.73
1412,1o33,5.74
1413,1o5e,5.74
1414,1qy2,5.74
1415,1zdp,5.74
1416,2pgz,5.74
1417,2pqc,5.74
1418,3gy2,5.74
1419,3ivx,5.74
1420,3pb7,5.74
1421,4lps,5.74
1422,4o2b,5.74
1423,2ya8,5.75
1424,4mn3,5.75
1425,1p1o,5.76
1426,2qta,5.76
1427,4a95,5.76
1428,4muv,5.76
1429,4nwc,5.76
1430,1jmf,5.77
1431,1o5b,5.77
1432,1ur9,5.77
1433,2boj,5.77
1434,2xp7,5.77
1435,3k00,5.77
1436,3rm4,5.77
1437,4fxq,5.77
1438,4j45,5.77
1439,4q9o,5.77
1440,4l4v,5.78
1441,1hmt,5.79
1442,2y5h,5.79
1443,4q4q,5.79
1444,1kpm,5.80
1445,1ppm,5.80
1446,2q88,5.80
1447,4ezx,5.80
1448,4g8v,5.80
1449,1lkl,5.81
1450,1hdq,5.82
1451,1kav,5.82
1452,1ols,5.82
1453,2nn1,5.82
1454,3b7i,5.82
1455,3gss,5.82
1456,3iue,5.82
1457,3qqa,5.82
1458,3qqs,5.82
1459,4dld,5.82
1460,4e9u,5.82
1461,4lj8,5.82
1462,4p5d,5.82
1463,4r4o,5.82
1464,4rqk,5.82
1465,4do5,5.83
1466,4km2,5.84
1467,1k4g,5.85
1468,1o2w,5.85
1469,1ogz,5.85
1470,1q54,5.85
1471,1qbn,5.85
1472,1u1w,5.85
1473,2e5y,5.85
1474,2pu1,5.85
1475,2r3t,5.85
1476,2vmf,5.85
1477,2z94,5.85
1478,3e5u,5.85
1479,3ehy,5.85
1480,4b6r,5.85
1481,4des,5.85
1482,4jv8,5.85
1483,4qdk,5.85
1484,4azc,5.86
1485,4jne,5.86
1486,3tcg,5.87
1487,4cfl,5.88
1488,1b3l,5.89
1489,1e1x,5.89
1490,1ydk,5.89
1491,2brm,5.89
1492,2eg7,5.89
1493,2tmn,5.89
1494,3eeb,5.89
1495,3h1x,5.89
1496,3qgw,5.89
1497,3uev,5.89
1498,4arb,5.89
1499,4de0,5.89
1500,4wk1,5.89
1501,1v2n,5.90
1502,2weq,5.90
1503,3old,5.90
1504,1ugx,5.91
1505,3ebp,5.91
1506,4csd,5.91
1507,1a4w,5.92
1508,1jao,5.92
1509,1kyv,5.92
1510,1ndv,5.92
1511,1o0h,5.92
1512,1pph,5.92
1513,1qf2,5.92
1514,1qka,5.92
1515,1yds,5.92
1516,1yet,5.92
1517,2ans,5.92
1518,2pmk,5.92
1519,2xn3,5.92
1520,3kgu,5.92
1521,3neo,5.92
1522,3r4m,5.92
1523,3zv7,5.92
1524,4kyh,5.92
1525,4lkk,5.92
1526,4rdn,5.92
1527,4u0f,5.92
1528,1fv0,5.93
1529,1kv1,5.94
1530,3lmk,5.94
1531,4mr3,5.94
1532,2weh,5.95
1533,1b9j,5.96
1534,1d6w,5.96
1535,1nl9,5.96
1536,1o36,5.96
1537,1q8u,5.96
1538,2j79,5.96
1539,2xht,5.96
1540,4de1,5.96
1541,4msc,5.96
1542,4w9i,5.96
1543,1uwt,5.97
1544,4fm8,5.97
1545,4nkt,5.97
1546,1uwu,5.98
1547,3e12,5.99
1548,3huc,5.99
1549,4az5,5.99
1550,1a1e,6.00
1551,1ado,6.00
1552,1c5s,6.00
1553,1ceb,6.00
1554,1d2e,6.00
1555,1f0t,6.00
1556,1jq8,6.00
1557,1ssq,6.00
1558,1xk5,6.00
1559,2bvd,6.00
1560,2gh9,6.00
1561,2izl,6.00
1562,2r43,6.00
1563,2rcn,6.00
1564,2vqt,6.00
1565,2wf5,6.00
1566,3ary,6.00
1567,3ddg,6.00
1568,3l4w,6.00
1569,3nex,6.00
1570,3ucj,6.00
1571,3uil,6.00
1572,4bb9,6.00
1573,4kwg,6.00
1574,4p3h,6.00
1575,4qxr,6.00
1576,1b5h,6.01
1577,1eb2,6.01
1578,2vl4,6.01
1579,4b6s,6.01
1580,1tcw,6.02
1581,3coy,6.02
1582,3f3c,6.02
1583,3su6,6.02
1584,3zq9,6.02
1585,4og4,6.02
1586,5er1,6.02
1587,1n8v,6.03
1588,1okl,6.03
1589,1os0,6.03
1590,1sh9,6.03
1591,1t7d,6.03
1592,2ce9,6.03
1593,4f9u,6.03
1594,1xbo,6.04
1595,4km0,6.04
1596,4nuc,6.04
1597,1eoc,6.05
1598,3bgb,6.05
1599,3gus,6.05
1600,3iss,6.05
1601,3ouj,6.05
1602,3pcf,6.05
1603,4ara,6.05
1604,4kqp,6.05
1605,4m12,6.05
1606,1g7q,6.06
1607,1kjr,6.06
1608,1qb6,6.06
1609,2fxs,6.06
1610,2nnd,6.06
1611,3sfg,6.06
1612,4io3,6.06
1613,4l50,6.06
1614,1jmg,6.07
1615,2gst,6.07
1616,2w5g,6.07
1617,3b25,6.07
1618,3c89,6.07
1619,3fvl,6.07
1620,3owj,6.07
1621,1nhz,6.08
1622,2w7y,6.08
1623,2wc3,6.08
1624,2wej,6.08
1625,3bkk,6.08
1626,3iw5,6.08
1627,4kp5,6.08
1628,1o2n,6.09
1629,1ogx,6.09
1630,1w9u,6.09
1631,3p8z,6.09
1632,1azm,6.10
1633,1dzk,6.10
1634,1lgt,6.10
1635,1m2q,6.10
1636,2e7f,6.10
1637,2ewb,6.10
1638,2flr,6.10
1639,2p7a,6.10
1640,2wed,6.10
1641,2yay,6.10
1642,3c8b,6.10
1643,3cke,6.10
1644,3v2n,6.10
1645,4gah,6.10
1646,4kxn,6.10
1647,4kzq,6.10
1648,4l19,6.10
1649,4r5t,6.10
1650,1g32,6.11
1651,1m2p,6.11
1652,1o2z,6.11
1653,2qnq,6.11
1654,2qx0,6.11
1655,4kao,6.11
1656,4m7j,6.11
1657,1nc1,6.12
1658,1x8r,6.12
1659,2fgv,6.12
1660,2p2a,6.12
1661,2wvt,6.12
1662,3qfy,6.12
1663,4ayp,6.12
1664,4hp0,6.12
1665,4k4j,6.12
1666,2c97,6.14
1667,2fqt,6.14
1668,2zym,6.14
1669,1u0g,6.15
1670,1zs0,6.15
1671,2r75,6.15
1672,3arw,6.15
1673,1ppc,6.16
1674,2i4j,6.16
1675,3m89,6.16
1676,4o04,6.16
1677,1a9q,6.17
1678,1d6v,6.17
1679,1k1o,6.17
1680,1ndy,6.17
1681,1yc1,6.17
1682,3bkl,6.17
1683,3hk1,6.17
1684,4aq4,6.17
1685,4b9k,6.17
1686,4fht,6.17
1687,4pfu,6.17
1688,1xhy,6.18
1689,3c8a,6.18
1690,3w9r,6.18
1691,4q6e,6.18
1692,1iy7,6.19
1693,1tq4,6.19
1694,1v2k,6.19
1695,2bt9,6.19
1696,2qbu,6.19
1697,3u5l,6.19
1698,1owe,6.20
1699,1sqt,6.20
1700,2aj8,6.20
1701,2qrp,6.20
1702,3p9t,6.20
1703,4ad2,6.20
1704,4k6i,6.20
1705,1b3h,6.21
1706,3s8n,6.21
1707,3sug,6.21
1708,4cg9,6.21
1709,1l8g,6.22
1710,2xda,6.22
1711,3acl,6.22
1712,3ip5,6.22
1713,3lpp,6.22
1714,3p2e,6.22
1715,3pd9,6.22
1716,4bqg,6.22
1717,4m0e,6.22
1718,4mdn,6.22
1719,4mjo,6.22
1720,1m7d,6.23
1721,3okv,6.23
1722,3s3v,6.23
1723,4w9j,6.23
1724,1hnn,6.24
1725,3vh9,6.24
1726,1gnm,6.25
1727,2o4z,6.25
1728,2zdn,6.25
1729,3rf4,6.25
1730,3wqm,6.25
1731,4bcp,6.25
1732,1wcq,6.26
1733,3bgz,6.26
1734,3su4,6.26
1735,4r4t,6.26
1736,4ua8,6.26
1737,4wiv,6.26
1738,1pbq,6.27
1739,2j94,6.27
1740,3bfu,6.27
1741,4r4i,6.27
1742,1afl,6.28
1743,1atl,6.28
1744,1w3l,6.28
1745,2aog,6.28
1746,4djw,6.28
1747,2xyt,6.29
1748,3f48,6.29
1749,3h8b,6.29
1750,3v2q,6.29
1751,4d8z,6.29
1752,4lj5,6.29
1753,4n7u,6.29
1754,1d4p,6.30
1755,1lag,6.30
1756,1wdn,6.30
1757,1wm1,6.30
1758,2oi2,6.30
1759,2q89,6.30
1760,2vrj,6.30
1761,3ebl,6.30
1762,3k5v,6.30
1763,3t70,6.30
1764,4e1k,6.30
1765,4eor,6.30
1766,4etz,6.30
1767,4oag,6.30
1768,4pow,6.30
1769,1nja,6.31
1770,2bal,6.31
1771,2pvu,6.31
1772,3q44,6.31
1773,3u93,6.31
1774,3uew,6.31
1775,4cpy,6.31
1776,4d1j,6.31
1777,4der,6.31
1778,1w3j,6.32
1779,2wnc,6.32
1780,2zb1,6.32
1781,3ebh,6.32
1782,3w9k,6.32
1783,6upj,6.32
1784,1ex8,6.33
1785,2qbr,6.33
1786,4nbl,6.33
1787,1bdq,6.34
1788,1i00,6.34
1789,1w9v,6.34
1790,1xq0,6.34
1791,3cj5,6.34
1792,3zk6,6.34
1793,1cbx,6.35
1794,1gjc,6.35
1795,2j7f,6.35
1796,2p09,6.35
1797,3ckp,6.35
1798,3ctt,6.35
1799,3ed0,6.35
1800,3fvh,6.35
1801,3rt8,6.35
1802,1c5q,6.36
1803,1ela,6.36
1804,1o2o,6.36
1805,3oku,6.36
1806,3t6b,6.36
1807,3v2p,6.36
1808,1gx8,6.37
1809,1hbv,6.37
1810,1hms,6.37
1811,2qpq,6.37
1812,2w9h,6.37
1813,2zdk,6.37
1814,3qlm,6.37
1815,2hkf,6.38
1816,2ybu,6.38
1817,1lol,6.39
1818,4q4p,6.39
1819,10gs,6.40
1820,1g7v,6.40
1821,1i7z,6.40
1822,1igb,6.40
1823,1usk,6.40
1824,1yvm,6.40
1825,2g9q,6.40
1826,2y8c,6.40
1827,2zdl,6.40
1828,3arq,6.40
1829,3k1j,6.40
1830,3kmc,6.40
1831,3s72,6.40
1832,3tf6,6.40
1833,3zll,6.40
1834,4cga,6.40
1835,4eu0,6.40
1836,4je7,6.40
1837,4mss,6.40
1838,1i80,6.41
1839,1syh,6.41
1840,2cgf,6.41
1841,2qnp,6.41
1842,2xxx,6.41
1843,2zdm,6.41
1844,3k5x,6.41
1845,3r17,6.41
1846,1o5a,6.42
1847,2j78,6.42
1848,3d2e,6.42
1849,1fh9,6.43
1850,2b07,6.43
1851,2fqo,6.43
1852,3v3l,6.43
1853,4d3h,6.43
1854,4ge1,6.43
1855,4q4r,6.43
1856,2jh5,6.44
1857,2pvm,6.44
1858,3pfp,6.44
1859,4da5,6.44
1860,4ea2,6.44
1861,4jfk,6.44
1862,4q3u,6.44
1863,3qw5,6.45
1864,4kwo,6.45
1865,1m2r,6.46
1866,1r5y,6.46
1867,1ro6,6.46
1868,2xd9,6.46
1869,2xdx,6.46
1870,3o8p,6.46
1871,3pd8,6.46
1872,4m0y,6.46
1873,4n07,6.46
1874,1j01,6.47
1875,3cm2,6.47
1876,3s78,6.47
1877,3tfp,6.47
1878,4mhy,6.47
1879,1f4g,6.48
1880,1gpn,6.48
1881,1rpj,6.48
1882,2wnj,6.48
1883,3g3r,6.48
1884,3gsm,6.48
1885,4e67,6.48
1886,4q3t,6.48
1887,1dl7,6.49
1888,3bft,6.49
1889,3mho,6.49
1890,3nw3,6.49
1891,3s0b,6.49
1892,4hw3,6.49
1893,2g72,6.50
1894,2weg,6.50
1895,3bwj,6.50
1896,4kzu,6.50
1897,4mme,6.50
1898,4oc0,6.50
1899,2jdh,6.51
1900,2usn,6.51
1901,2xjj,6.51
1902,3cj4,6.51
1903,3hf8,6.51
1904,3wmc,6.51
1905,4fut,6.51
1906,1alw,6.52
1907,1ct8,6.52
1908,1g74,6.52
1909,1k9s,6.52
1910,1qy1,6.52
1911,1zhy,6.52
1912,2h4g,6.52
1913,2nn7,6.52
1914,2nt7,6.52
1915,2oxy,6.52
1916,2pfy,6.52
1917,2zft,6.52
1918,3bva,6.52
1919,3dx3,6.52
1920,3hzv,6.52
1921,3o9p,6.52
1922,3uo4,6.52
1923,4dko,6.52
1924,4dkr,6.52
1925,2p7g,6.53
1926,3ama,6.53
1927,1drv,6.54
1928,1o3l,6.54
1929,2h21,6.54
1930,2jdk,6.54
1931,2zfs,6.54
1932,3d0b,6.54
1933,3fuz,6.54
1934,3jvs,6.54
1935,3sr4,6.54
1936,4a4v,6.54
1937,4aqh,6.54
1938,4ht2,6.54
1939,4leq,6.54
1940,4uac,6.54
1941,4w9k,6.54
1942,1dhj,6.55
1943,1hmr,6.55
1944,1hp5,6.55
1945,1n4h,6.55
1946,1yc4,6.55
1947,1yda,6.55
1948,2bok,6.55
1949,2i3v,6.55
1950,2xxr,6.55
1951,3s0e,6.55
1952,4iue,6.55
1953,4og3,6.55
1954,2zq2,6.56
1955,4db7,6.56
1956,4lbu,6.56
1957,1sld,6.57
1958,2fqy,6.57
1959,2hzl,6.57
1960,2pwc,6.57
1961,3ove,6.57
1962,3qox,6.57
1963,3sax,6.57
1964,3tfn,6.57
1965,4fs4,6.57
1966,5er2,6.57
1967,1k1i,6.58
1968,2p7z,6.58
1969,3pb9,6.58
1970,4cd4,6.58
1971,1b58,6.59
1972,1c3e,6.59
1973,1fiv,6.59
1974,1izi,6.59
1975,2e91,6.59
1976,2pvh,6.59
1977,2pwr,6.59
1978,3gs6,6.59
1979,3t8v,6.59
1980,4qnb,6.59
1981,1b38,6.60
1982,1g7g,6.60
1983,1jzs,6.60
1984,2euk,6.60
1985,2f7p,6.60
1986,2j4g,6.60
1987,2jdp,6.60
1988,2wly,6.60
1989,3dln,6.60
1990,3ip6,6.60
1991,3lxe,6.60
1992,3v3q,6.60
1993,4dkq,6.60
1994,4h75,6.60
1995,4mr6,6.60
1996,4oc1,6.60
1997,1afk,6.62
1998,1ii5,6.62
1999,2ews,6.62
2000,2j7b,6.62
2001,2jgs,6.62
2002,2vwc,6.62
2003,3ljo,6.62
2004,3ozp,6.62
2005,4btk,6.62
2006,4er1,6.62
2007,4gfo,6.62
2008,4mpn,6.62
2009,2x7t,6.63
2010,2yfe,6.63
2011,3f8f,6.63
2012,4k77,6.63
2013,1lcp,6.64
2014,1sln,6.64
2015,2b1g,6.64
2016,2d3z,6.64
2017,2za0,6.64
2018,3b26,6.64
2019,3fee,6.64
2020,2j75,6.65
2021,3mzc,6.65
2022,1a4r,6.66
2023,1cps,6.66
2024,1elc,6.66
2025,1o3p,6.66
2026,1pxp,6.66
2027,1wur,6.66
2028,2xj7,6.66
2029,2yz3,6.66
2030,3pwd,6.66
2031,3zj6,6.66
2032,4jv6,6.66
2033,4v27,6.66
2034,3g19,6.67
2035,1c5x,6.68
2036,1mai,6.68
2037,2fqw,6.68
2038,2iwx,6.68
2039,2qbs,6.68
2040,3ie3,6.68
2041,3o75,6.68
2042,3su1,6.68
2043,3zhx,6.68
2044,4ca8,6.68
2045,4ew2,6.68
2046,2jew,6.69
2047,2xn5,6.69
2048,1b0h,6.70
2049,1b3g,6.70
2050,1dfo,6.70
2051,1eld,6.70
2052,1f3e,6.70
2053,1koj,6.70
2054,1nki,6.70
2055,2a5s,6.70
2056,2eum,6.70
2057,2evl,6.70
2058,2oxx,6.70
2059,2py4,6.70
2060,3eko,6.70
2061,3hzk,6.70
2062,3mhi,6.70
2063,3pck,6.70
2064,3pgu,6.70
2065,3t60,6.70
2066,3t64,6.70
2067,4ewn,6.70
2068,4f09,6.70
2069,4io2,6.70
2070,4jyc,6.70
2071,4jz1,6.70
2072,4m13,6.70
2073,4m14,6.70
2074,2f94,6.71
2075,4cd5,6.71
2076,1rbp,6.72
2077,2jdu,6.72
2078,2vpn,6.72
2079,2xc0,6.72
2080,3aqt,6.72
2081,3gst,6.72
2082,3l4v,6.72
2083,3l4z,6.72
2084,4djv,6.72
2085,4flp,6.72
2086,4i74,6.72
2087,4o0a,6.72
2088,1wvj,6.73
2089,4pum,6.73
2090,4r5b,6.73
2091,4w9h,6.73
2092,1add,6.74
2093,1usi,6.74
2094,2x91,6.74
2095,2zc9,6.74
2096,2zgx,6.74
2097,3dgo,6.74
2098,3fzy,6.74
2099,3m67,6.74
2100,3oim,6.74
2101,4ca6,6.74
2102,4ew3,6.74
2103,4f9y,6.74
2104,4lxz,6.74
2105,3ikd,6.75
2106,4cwt,6.75
2107,2on6,6.76
2108,1o30,6.77
2109,1o3j,6.77
2110,1om1,6.77
2111,1ony,6.77
2112,1qb1,6.77
2113,3fas,6.77
2114,3fvn,6.77
2115,3m40,6.77
2116,4cwp,6.77
2117,4loi,6.77
2118,3gcu,6.78
2119,2rcb,6.79
2120,3su0,6.79
2121,4ogj,6.79
2122,1fl3,6.80
2123,1nq7,6.80
2124,1p1n,6.80
2125,2xhm,6.80
2126,3c88,6.80
2127,3fx6,6.80
2128,3s2v,6.80
2129,4nze,6.80
2130,2uwp,6.81
2131,1drk,6.82
2132,1fhd,6.82
2133,1jeu,6.82
2134,1k1n,6.82
2135,1lrh,6.82
2136,1o38,6.82
2137,1uwf,6.82
2138,2b1i,6.82
2139,2c94,6.82
2140,2oxd,6.82
2141,2pym,6.82
2142,2rfh,6.82
2143,2v8w,6.82
2144,2xyd,6.82
2145,2zq0,6.82
2146,3dx2,6.82
2147,3m3x,6.82
2148,3s75,6.82
2149,3s9t,6.82
2150,4nue,6.82
2151,4qy3,6.82
2152,2xnb,6.83
2153,1bhx,6.84
2154,2y5g,6.84
2155,3ewj,6.84
2156,4kn1,6.84
2157,1ele,6.85
2158,1g30,6.85
2159,1lkk,6.85
2160,1os5,6.85
2161,1q72,6.85
2162,1qyg,6.85
2163,1xk9,6.85
2164,1xt8,6.85
2165,3n76,6.85
2166,3pn4,6.85
2167,3s8o,6.85
2168,4k3h,6.85
2169,3aid,6.86
2170,3pyy,6.86
2171,1cgl,6.87
2172,2zcr,6.87
2173,3qin,6.87
2174,3tmk,6.87
2175,4mhz,6.87
2176,1xka,6.88
2177,3oe5,6.88
2178,3u3u,6.88
2179,4bco,6.88
2180,1b3f,6.89
2181,1fh8,6.89
2182,1jev,6.89
2183,1sb1,6.89
2184,1uz1,6.89
2185,2bfq,6.89
2186,2dri,6.89
2187,2e92,6.89
2188,2f34,6.89
2189,2r3w,6.89
2190,2vk2,6.89
2191,3hu3,6.89
2192,3jya,6.89
2193,3l4x,6.89
2194,3r4n,6.89
2195,4g4p,6.89
2196,1k1l,6.90
2197,3cow,6.90
2198,3gbb,6.90
2199,3uyr,6.90
2200,3evd,6.91
2201,4bcm,6.91
2202,1a9m,6.92
2203,1k6v,6.92
2204,1o2j,6.92
2205,1pkx,6.92
2206,1swr,6.92
2207,2d3u,6.92
2208,2uy0,6.92
2209,3bl0,6.92
2210,3lir,6.92
2211,3r1v,6.92
2212,3uex,6.92
2213,2weo,6.93
2214,4f9w,6.94
2215,1tcx,6.95
2216,4k9y,6.95
2217,4q4s,6.95
2218,1atr,6.96
2219,1c5c,6.96
2220,1gj8,6.96
2221,1gvw,6.96
2222,1oyq,6.96
2223,1x8j,6.96
2224,3exe,6.96
2225,3pn1,6.96
2226,4cg8,6.96
2227,4i54,6.96
2228,4jyb,6.96
2229,4loh,6.96
2230,4rpn,6.96
2231,3t84,6.97
2232,1my4,6.98
2233,3hv8,6.98
2234,3t83,6.98
2235,4att,6.98
2236,3slz,6.99
2237,4bcs,6.99
2238,4fai,6.99
2239,1ch8,7.00
2240,1fki,7.00
2241,1fpc,7.00
2242,1gj6,7.00
2243,1oth,7.00
2244,1zoh,7.00
2245,2gyi,7.00
2246,2j7g,7.00
2247,2wzf,7.00
2248,3bbb,7.00
2249,3drf,7.00
2250,3drg,7.00
2251,3kdm,7.00
2252,3l4y,7.00
2253,3mhm,7.00
2254,3t82,7.00
2255,3zyu,7.00
2256,4b6o,7.00
2257,4dew,7.00
2258,4fcq,7.00
2259,4n3l,7.00
2260,3nht,7.01
2261,1ypj,7.02
2262,2vwl,7.02
2263,3cdb,7.02
2264,3igp,7.02
2265,3n4b,7.02
2266,3pbb,7.02
2267,1b1h,7.03
2268,2vwm,7.03
2269,4av4,7.03
2270,3mtw,7.04
2271,4p6x,7.04
2272,1b5i,7.05
2273,1xug,7.05
2274,2bq7,7.05
2275,2jxr,7.05
2276,2wer,7.05
2277,3ahn,7.05
2278,3aho,7.05
2279,3i4y,7.05
2280,3s0d,7.05
2281,4h3j,7.05
2282,1ui0,7.06
2283,3po6,7.06
2284,4cwq,7.06
2285,1ydd,7.07
2286,2ate,7.07
2287,2f9k,7.07
2288,3cl0,7.07
2289,3ryv,7.07
2290,3u7k,7.07
2291,4oc5,7.07
2292,1xpz,7.08
2293,2hnx,7.08
2294,3rlp,7.08
2295,4emf,7.08
2296,1lpg,7.09
2297,1yq7,7.09
2298,2bz6,7.09
2299,3f7h,7.09
2300,4c1u,7.09
2301,4ghi,7.09
2302,1b32,7.10
2303,2f7i,7.10
2304,2il2,7.10
2305,2v57,7.10
2306,2wjg,7.10
2307,3ebi,7.10
2308,3hky,7.10
2309,3udd,7.10
2310,3zdg,7.10
2311,4azg,7.10
2312,4bny,7.10
2313,4w97,7.10
2314,3u15,7.11
2315,1b05,7.12
2316,1b52,7.12
2317,1nz7,7.12
2318,1xd0,7.12
2319,1z95,7.12
2320,2pov,7.12
2321,2x2r,7.12
2322,3dx4,7.12
2323,3hww,7.12
2324,4bzs,7.12
2325,4daf,7.12
2326,4e0x,7.12
2327,5upj,7.12
2328,1o3d,7.13
2329,2j7d,7.13
2330,3zc5,7.13
2331,4arw,7.13
2332,4b6p,7.13
2333,4kx8,7.13
2334,2pv1,7.14
2335,2vot,7.14
2336,3ffp,7.14
2337,3n7o,7.14
2338,4ks4,7.14
2339,1elb,7.15
2340,1fch,7.15
2341,1pxn,7.15
2342,1xr9,7.15
2343,1zog,7.15
2344,2fqx,7.15
2345,2qnn,7.15
2346,3arp,7.15
2347,3fql,7.15
2348,3n9r,7.15
2349,4c1t,7.15
2350,4ko8,7.15
2351,1f0u,7.16
2352,3f3d,7.16
2353,4iva,7.16
2354,4o9w,7.16
2355,1g36,7.17
2356,1o2h,7.17
2357,2doo,7.17
2358,2i6b,7.17
2359,3el4,7.17
2360,3tsk,7.17
2361,4i9h,7.17
2362,4o0x,7.17
2363,2q63,7.18
2364,2xj2,7.18
2365,1fcx,7.19
2366,1gi4,7.19
2367,1hsl,7.19
2368,1q7a,7.19
2369,1z9y,7.19
2370,2j7h,7.19
2371,3f19,7.19
2372,3gdt,7.19
2373,3nsn,7.19
2374,4app,7.19
2375,2pow,7.20
2376,2pqb,7.20
2377,2xii,7.20
2378,3c79,7.20
2379,3k2f,7.20
2380,3mz6,7.20
2381,4g8n,7.20
2382,2yek,7.21
2383,3f1a,7.21
2384,3s77,7.21
2385,3v7t,7.21
2386,4av5,7.21
2387,4b73,7.21
2388,1gvx,7.22
2389,1lan,7.22
2390,1sw2,7.22
2391,2epn,7.22
2392,2h6t,7.22
2393,2hnc,7.22
2394,3cyz,7.22
2395,3dzt,7.22
2396,3k99,7.22
2397,3m35,7.22
2398,3m96,7.22
2399,3pcj,7.22
2400,3uz5,7.22
2401,4gfm,7.22
2402,4o0y,7.22
2403,3f8e,7.23
2404,4avh,7.23
2405,4djx,7.23
2406,4lxd,7.23
2407,1g2l,7.24
2408,1oyt,7.24
2409,2psv,7.24
2410,3ikg,7.24
2411,3n3g,7.24
2412,3o84,7.24
2413,3p3t,7.24
2414,4azb,7.24
2415,4fm7,7.24
2416,4ha5,7.24
2417,1jet,7.25
2418,2ces,7.25
2419,2ole,7.25
2420,2qbw,7.25
2421,3gcs,7.25
2422,3mhl,7.25
2423,3p3r,7.25
2424,1dhi,7.26
2425,1mrx,7.26
2426,2qzr,7.26
2427,2xib,7.26
2428,3cz1,7.26
2429,3gc5,7.26
2430,4ly1,7.26
2431,4nnr,7.26
2432,4itp,7.27
2433,1b40,7.28
2434,1hii,7.28
2435,1kel,7.28
2436,2ceq,7.28
2437,2cgr,7.28
2438,2pql,7.28
2439,2qhz,7.28
2440,2yel,7.28
2441,3a6t,7.28
2442,3fl5,7.28
2443,3o7u,7.28
2444,3sbh,7.28
2445,3u7l,7.28
2446,4alx,7.28
2447,4m2w,7.28
2448,3ccz,7.29
2449,4do4,7.29
2450,4iwz,7.29
2451,1o3i,7.30
2452,1sw1,7.30
2453,1tmn,7.30
2454,1zge,7.30
2455,2i3i,7.30
2456,2qi1,7.30
2457,2uxi,7.30
2458,2vvn,7.30
2459,3c52,7.30
2460,3n0n,7.30
2461,3p5o,7.30
2462,3r16,7.30
2463,3s8x,7.30
2464,4b1j,7.30
2465,4qyy,7.30
2466,4sga,7.30
2467,1o1s,7.31
2468,3uod,7.31
2469,4nyf,7.31
2470,1qf1,7.32
2471,1ydt,7.32
2472,2j7e,7.32
2473,3ipu,7.32
2474,3kv2,7.32
2475,3pww,7.32
2476,4c9x,7.32
2477,2j2u,7.33
2478,2r2m,7.33
2479,4ayq,7.33
2480,1uw6,7.34
